ID,In your current role do you carry out primary research?,Have you published a manuscript in the past 3 years?,Which of the following job family best applies to you?,Area of interest,"Please briefly describe your area of speciality within your field.
","Familiarity with Reproducibility?
","What does reproducibility mean to you?
","Familiarity with Open Science?
","What does Open Science mean to you
",Proportion of published results,How does your field stack up?,"How often do you think about reproducibility of your research?
","How often do you speak to your colleagues about reproducibility?
","How often do you question the reproducibility of other scientists' work?
","Your knowledge..
",Established procedure for reproducibility,Timelines,"Established procedure for reproducibility
",Quality of research changed,Impact on lab,Effects caused by change,"Funder & Institutional effort
","Funder & Institutional effort
2","Publisher effort
","Publisher effort
2",         Professional   incentives (e.g. funding or publications) for formally reproducing the work   of others       ,         Professional   incentives (e.g. funding or credit towards tenure) for adopting practices   that enhance reproducibility       ,         Better   teaching of science students       ,"         Better   mentoring/supervision of students, postdocs and other trainees in the lab       ",         Better   understanding of statistics       ,         More   robust experimental design       ,         More   emphasis on independent validation within the lab       ,         More   emphasis on independent replication via outside labs       ,         Journal   editors enforcing standards to enhance reproducibility (e.g. through   checklists)       ,         More   time to teach and mentor students and other workers in the lab       ,         More   time checking lab notebooks and raw data       ,"Would you like, Could you benefit from or do you want help in developing a strong foundation for running your own reproducible, open-source analyses?
","Guess what %age of respondents to a recent survey in Nature agreed that there is a ‘reproducibility crisis'
"
75,Yes,No,Taught Student,Insect Evolutionary Ecology,"Allometry, sexual selection",Fairly familiar,The methodology contains the information required to repeat the experiment and produce the same outcome.,Not very familiar,Uses studies by others,7,I am unsure.,Monthly,Monthly,Monthly,No,Yes,Within the last year,,I don't know,,,Not Applicable,,Not Applicable,,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Not very likely,No,50-80%
76,Yes,Yes,Education & Research Staff,Behavioural Ecology,Sensory ecology and behaviour,Fairly familiar,"Making a finding as reproducible as possible e.g. through pre-registration of study aims, hypotheses and analysis, providing full methods (e.g. protocols) in methods section, uploading data and code to an open repository.",Fairly familiar,"Making software, code, data etc accessible to all.",3,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Maybe,Yes,Within the last 2 years,"All data are on a lab drive, which includes protocols/SOPs for all procedures. When writing up manuscripts, methods & analyses are clearly described (and extra info provided in supplementary materials if needed), R code and associated data are uploaded to repository.","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,"Positive impacts - more confidence in analysis as others proof check R code, more awareness for lab members of importance of reproducibility/open science. Negative impact - takes more time to submit manuscripts because messy code often tidied up!",No,,Yes,"Recently published in Ecology Letters, they had a code editor who proofed our R code for us which was really useful. They didn't find any issues but had some handy suggestions.",Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Yes,50-80%
77,Yes,Yes,Education & Research Staff,Behavioural Ecology,"cooperation, maternal effects",Very familiar,being able to conduct the same work leading to the same result,Very familiar,accessible by all,7,"... about the same as for other scientific fields on average""",Monthly,Monthly,Monthly,No,No,,,,,,No,,Yes,standardised methods and raw data online,Very Likely,Likely,Not very likely,Not very likely,Likely,Likely,Likely,Very Likely,Not very likely,Not very likely,Not very likely,No,10-20%
78,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Evolutionary Ecology,I work on how background appearance influences camouflage ecology and conservation.,Very familiar,"With the data and scripts provided someone should be able to reproduce your results, at the bare minimum reproduce the significance values of your statistical tests. 

The methods provided should be detailed enough that any behavioural or field experiments can be repeated.",Very familiar,"Science should be open to people, that means being accessible financially and linguistically. People should be able to access papers regardless of their language and economic background.",8,I am unsure.,Monthly,Yearly,Monthly,Maybe,No,,,,,,Yes,,Yes,The use of DRYAD and allowing for large supplementary materials.,Very Likely,Likely,Likely,Very Likely,Likely,Not very likely,Likely,Not very likely,Not very likely,Likely,Likely,Maybe,10-20%
79,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Ecosystems,"Tropical forest and peatland ecology, conservation and restoration",Very familiar,Detailing all procedures in sufficient detail to allow others to fully reproduce a study (with the aim of testing whether same results are then obtained).,Very familiar,Making science and the results of science open and freely accessible to all,6,"... worse than for other scientific fields on average.""",Monthly,Yearly,Monthly,Maybe,"No, but would like to",,,,,,No,,Yes,"Stipulations in author guidelines re Method sections. Helpful, but could potentially go further through using standardised formats. ",Very Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Not very likely,Very Likely,Likely,Not very likely,Yes,50-80%
80,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Conservation Biology & Biogeography,"Conservation ecology of carabid beetles in temperate Europe. Biogeography and utilising SDMs to forecast range changes and highlight areas integral to conservation.
Spider taxonomy and systematics. ",Somewhat familiar,"Detailed methods section, publishing data alongside MS.",Not very familiar,Not sure the difference,6,"... about the same as for other scientific fields on average""",Never,Monthly,Yearly,No,"No, but would like to",,,,,,No,None that i'm sure of,No,,Likely,Likely,Likely,Likely,Not very likely,Not very likely,Very Likely,Very Likely,Likely,Likely,Not very likely,Yes,50-80%
81,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Earth and Environmental Science,I study wave-particle interactions int he radiation belts via a large in-situ satellite,Fairly familiar,Providing or having access to enough detail in procedure and necessary data to recreate published results,Not very familiar,I assume it means providing accessibility to science results/procedures/data ,6,I am unsure.,Daily,Weekly,Daily,Maybe,No,,,,,,No,"Honestly, I can’t think of much from my institution on this subject, but I may be very wrong!",Not Applicable,,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Not very likely,Not very likely,Yes,50-80%
82,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,Antibiotic resistance in the aquatic environment and the impact of climate change ,Fairly familiar,Another group should be able to use the same methods and materials you detail and produce the same results,Somewhat familiar,"Open access journals, greater collaboration and sharing of data ",5,"... worse than for other scientific fields on average.""",Daily,Daily,Daily,Maybe,"No, but would like to",,,,,,No,,Not Applicable,,Very Likely,Very Likely,Likely,Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Likely,Yes,50-80%
84,Yes,Yes,Education & Research Staff,Disease Ecology and Evolution,demography and population biology,Fairly familiar,Enabling others to check outcomes and to share methods,Fairly familiar,Enabling anyone to share learning without financial barriers,3,"... worse than for other scientific fields on average.""",Monthly,Monthly,Monthly,Yes,Yes,Within the last 5 years,"We make data available wherever possible, and publish Markdown analysis scripts where possible","No, the quality of my research has not improved",These changes have had a positive impact on my lab,"Positive: shared understanding of the importance of rigour and reproducibility
Negative: increased workload required to share analyses and data",Yes,We have been asked to make our work more reproducible,Yes,"Journals, particularly learned society journals, are hot on this",Likely,Likely,Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Maybe,50-80%
85,Yes,No,Taught Student,Insect Evolutionary Ecology,Allometric trends in sexual and non-sexual traits in beetles,Fairly familiar,Ensuring that published work is explained with enough detail so the study can be reproduced to check validity of published results.,Not at all familiar,,,"... about the same as for other scientific fields on average""",Monthly,Monthly,Daily,Maybe,Yes,Within the last year,,I don't know,These changes have not affected my lab,,Not Applicable,,Not Applicable,,I don't know,I don't know,Very Likely,Very Likely,Very Likely,Very Likely,I don't know,I don't know,Very Likely,Likely,Not at all likely,Maybe,50-80%
86,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Yes,Yes,Associate researcher outside a research group,Behavioural Ecology,MY work is focused on visual perception of animal coloration and the responses of predators towards prey warning coloration and camouflage.,Very familiar,the extent to which the results and methods of a study can be reproduced by another researcher to produce a similar study or corroborate results,Very familiar,"access to data, publications, research and collaborations within the scientific community ",8,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Yes,Yes,The procedures have been in place since I started working in my lab,,"Yes, the quality of my research has improved",These changes have not affected my lab,,No,,No,,Not very likely,Likely,Not very likely,Not very likely,Likely,Likely,Not very likely,Not very likely,Not very likely,Not very likely,Not very likely,No,10-20%
88,Yes,Yes,Education & Research Staff,Behavioural Ecology,visual ecology,Very familiar,"the ability of others to work out what you've done and repeat it, which can apply at multiple levels of scientific output (experimental design, analysis, presentation)",Fairly familiar,"others can reproduce what you've done without relying on proprietary or inacessible (e.g. behind paywall) methods, code, hardware, data, etc..",6,I am unsure.,Weekly,Weekly,Weekly,Yes,Yes,Within the last year,"always publishing raw data and R-code used to analyse them with publications,  developing open-source hardware and software tools.","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,"making code open is slightly ""scary"" in case case someone notices an error. However, by the same token, making it open means that anyone who notices an error can point it out, which will ultimately lead to better science. reaching a wider audience is also a good thing (lots of people in low- and middle-income counties use my software). also, it can massively alter the cost of data collection - e.g. making tools cheaper/easier, ultimately helping others' research.",No,"when I develop code/software/hardware, the funding body and I would generally promote open source and reproducible science. However, the university IIB people sometimes might want to protect IP, patents etc... where there's a conflict I always go with the open-source option and don't want to monetise my ideas (because in practice this won't help me or my science, it will just make the uni more money).",Yes,"NPG has horrible checklists... I don't think they help much. Reviewers need to point these things out, but editors often don't care much. e.g. as a reviewer when I've explicitly asked for authors to release key underlying data to make their work reproducible, they haven't been forced to. highly variable in short.",Very Likely,Likely,Likely,Likely,Likely,Likely,I don't know,Likely,I don't know,I don't know,I don't know,Maybe,30-40%  is missing here... but i'd go with that.
89,Yes,No,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Software Engineering,Research Software Engineering,Very familiar,Researchers from other institutes can reproduce and verify the outputs from which conclusions are drawn.,Fairly familiar,There are fewer barriers for other researchers (or perhaps members of the public) to access publications and/or research data.,,I am unsure.,Weekly,Weekly,Weekly,No,Not Applicable,,,,,,Not Applicable,,Yes,Encouragement to publish code/data alongside an article.,I don't know,I don't know,Likely,Likely,I don't know,I don't know,I don't know,I don't know,Likely,I don't know,I don't know,Maybe,50-80%
90,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Use of Information and game theory to model the adaptive value of information.,Very familiar,"Providing clear methods to other researchers by which they can attempt to reproduce your results. Best way to do it is to make your data available and make your code for how it was analysed well written, commented and easy to use.",Very familiar,"Open (free public) access to scientific publications, as well as the data and code needed to reproduce your results.",6,I am unsure.,Daily,Yearly,Weekly,Yes,"No, but would like to",,,,,,No,,Not Applicable,,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Not very likely,Not very likely,Very Likely,Likely,Very Likely,Yes,90-100%
91,Yes,No,Taught Student,Microbial Evolutionary Ecology,Host-plasmid dynamics and evolution under selection pressures from CRISPR-Cas9. Currently working on inter-plasmid competition.,Fairly familiar,How well sufficiently similar experimental results and/or conclusions can be drawn when an experiment is repeated independently.,Somewhat familiar,Open source data and models. ,8,"... better than for other scientific fields on average.""",Weekly,Monthly,Monthly,No,"No, but would like to",,,,,,Not Applicable,,Not Applicable,,Very Likely,Very Likely,Not very likely,Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Likely,Likely,Maybe,50-80%
92,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Microbial Evolutionary Ecology,"I am a phD student in the field of microbial evolutionary ecology, i am studying the susceptibility differences to bacterial pathogens across a panel of Drosophila species. I am also interested in the field of virulence evolution, micro biome and vaccine research.",Fairly familiar,Repeatable ,Fairly familiar,Let more people know,7,"... about the same as for other scientific fields on average""",Monthly,Monthly,Yearly,Yes,Yes,Within the last 10 years or longer,At least 3 replicates,"Yes, the quality of my research has improved",These changes have had a positive impact on my lab,More confident about results ,No,,No,,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,I don't know,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Yes,50-80%
93,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Disease Ecology and Evolution,"Defence systems in microbial communities, host-pathogen relationship dynamics, and microbial dynamics in biofilms",Very familiar,ability of other groups to reproduce results using the same techniques,Fairly familiar,,7,"... about the same as for other scientific fields on average""",Weekly,Monthly,Monthly,Maybe,"No, but would like to",,,,,,No,,No,,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Maybe,50-80%
94,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Engineering,,Fairly familiar,"Transfer my work into a public available code, therefore other people can easily use it and reproduce your work and is able to do further extensions.",Somewhat familiar,,6,"... better than for other scientific fields on average.""",Monthly,Never,Yearly,Yes,Yes,Within the last year,,"Yes, the quality of my research has improved",,,Yes,,Yes,,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Not very likely,Not very likely,Very Likely,Not very likely,Not very likely,Yes,50-80%
95,Yes,Yes,Education & Research Staff,Microbial Evolutionary Ecology,evolution of species interactions and cooperation in response to environmental change,Fairly familiar,you should be able to reproduce experiments/studies based in the published research and/or code supplied,Fairly familiar,Science should be accessible to public as well as data and code,6,"... about the same as for other scientific fields on average""",Weekly,Monthly,Daily,Maybe,Yes,Within the last 5 years,always make code/data available online and to group members,"Yes, the quality of my research has improved",These changes have had a positive impact on my lab,it makes other people more aware about how non-reproducuble a lot of studies actually are and that that needs to change,No,I am not aware of this but can not rule out I have missed any efforts,Yes,"This is limited to some journals only, and shold be introduced by all!",Likely,Not very likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Likely,Likely,Not very likely,Yes,90-100%
96,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Disease Ecology and Evolution,"Amphibian disease, microbiomes, environmental pollution ",Somewhat familiar,"Someone else being able to reproduce your research, e.g. following practical methodology/open source code",Not very familiar,Science that is accessible to all? ,6,I am unsure.,Weekly,Monthly,Weekly,Maybe,No,,,,,,No,NA,Not Applicable,NA,Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Not very likely,Yes,10-20%
97,Yes,Yes,Education & Research Staff,Behavioural Ecology,insect research,Very familiar,very important,Very familiar,very important,1,"... better than for other scientific fields on average.""",Monthly,Weekly,Weekly,Yes,Yes,Within the last year,very important,"Yes, the quality of my research has improved",These changes have had a positive impact on my lab,very important,Yes,very important,Yes,very important,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Yes,10-20%
